date,location,name,basket,total,payment_type,card_number
04/12/2023 09:00,Longridge,Jordan Hill,"Regular Flavoured iced latte - Caramel - 2.75, Large Smoothies - Glowing Greens - 2.50",5.25,CARD,4704353773111052
04/12/2023 09:01,Longridge,Tori Leonard,Large Speciality Tea - Earl Grey - 1.60,1.6,CARD,1577644009701015
04/12/2023 09:02,Longridge,Dean Rebuldela,Regular Glass of milk - 0.70,0.7,CARD,4378076725764125
04/12/2023 09:03,Longridge,William Miera,"Regular Speciality Tea - Earl Grey - 1.30, Large Speciality Tea - Earl Grey - 1.60",2.9,CARD,8267854663719092
04/12/2023 09:04,Longridge,Sonny Figueroa,"Large Glass of milk - 1.10, Regular Frappes - Strawberries & Cream - 2.75",3.85,CARD,6313996303319118
04/12/2023 09:05,Longridge,George Maddox,"Large Speciality Tea - Earl Grey - 1.60, Regular Glass of milk - 0.70, Large Mocha - 2.70, Large Mocha - 2.70",7.7,CARD,5190223774156440
04/12/2023 09:06,Longridge,Ernestine Guzman,"Regular Flavoured iced latte - Caramel - 2.75, Large Mocha - 2.70",5.45,CARD,9278015543810853
04/12/2023 09:07,Longridge,Fidel Lindsey,Regular Frappes - Strawberries & Cream - 2.75,2.75,CARD,8387462146295225
04/12/2023 09:08,Longridge,Robert Swoager,"Large Speciality Tea - Earl Grey - 1.60, Regular Mocha - 2.30, Regular Speciality Tea - Earl Grey - 1.30",5.2,CARD,1212220385121603
04/12/2023 09:09,Longridge,Tony Flores,"Regular Glass of milk - 0.70, Large Frappes - Strawberries & Cream - 3.25",3.95,CARD,6278470239208868
04/12/2023 09:10,Longridge,Joanne Bedward,"Large Frappes - Strawberries & Cream - 3.25, Regular Smoothies - Glowing Greens - 2.00, Regular Mocha - 2.30, Large Speciality Tea - Earl Grey - 1.60",9.15,CARD,7706003805859963
04/12/2023 09:11,Longridge,Willie Linstrom,"Large Frappes - Strawberries & Cream - 3.25, Regular Flavoured iced latte - Caramel - 2.75",6.0,CARD,4942703440923302
04/12/2023 09:13,Longridge,Jason Booker,"Regular Frappes - Strawberries & Cream - 2.75, Regular Mocha - 2.30",5.05,CASH,
04/12/2023 09:14,Longridge,Thomas Fairchild,"Regular Glass of milk - 0.70, Regular Glass of milk - 0.70",1.4,CASH,
04/12/2023 09:15,Longridge,Molly Kelley,Regular Glass of milk - 0.70,0.7,CASH,
04/12/2023 09:16,Longridge,Mary Montague,"Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25, Regular Frappes - Strawberries & Cream - 2.75",8.75,CARD,6673625380865663
04/12/2023 09:17,Longridge,Richard Stevens,"Large Speciality Tea - Earl Grey - 1.60, Regular Flavoured iced latte - Caramel - 2.75",4.35,CARD,6998533414197320
04/12/2023 09:18,Longridge,Jennifer Clenney,"Large Speciality Tea - Earl Grey - 1.60, Large Glass of milk - 1.10, Large Glass of milk - 1.10, Large Flavoured iced latte - Caramel - 3.25, Regular Mocha - 2.30",9.35,CARD,7787138698469963
04/12/2023 09:19,Longridge,Ellen Tello,"Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25",6.0,CARD,3898926217164627
04/12/2023 09:20,Longridge,Charles Groce,"Regular Glass of milk - 0.70, Large Flavoured iced latte - Caramel - 3.25, Regular Mocha - 2.30",6.25,CARD,7162435842853848
04/12/2023 09:21,Longridge,Richard Barbre,"Large Frappes - Strawberries & Cream - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Large Glass of milk - 1.10, Regular Flavoured iced latte - Caramel - 2.75, Regular Frappes - Strawberries & Cream - 2.75",12.6,CASH,
04/12/2023 09:22,Longridge,Shirley Chandler,Regular Frappes - Strawberries & Cream - 2.75,2.75,CARD,2100087238406826
04/12/2023 09:23,Longridge,Ruth Mckay,Regular Glass of milk - 0.70,0.7,CASH,
04/12/2023 09:24,Longridge,Shirley Waters,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,5660652117185591
04/12/2023 09:26,Longridge,Lonnie Webb,"Large Smoothies - Glowing Greens - 2.50, Regular Mocha - 2.30",4.8,CARD,3889711763231063
04/12/2023 09:27,Longridge,Dorathy Howard,"Large Flavoured iced latte - Caramel - 3.25, Regular Frappes - Strawberries & Cream - 2.75, Large Smoothies - Glowing Greens - 2.50, Regular Smoothies - Glowing Greens - 2.00",10.5,CASH,
04/12/2023 09:28,Longridge,William Caballero,Regular Frappes - Strawberries & Cream - 2.75,2.75,CASH,
04/12/2023 09:29,Longridge,Winnie Goodloe,"Large Smoothies - Glowing Greens - 2.50, Regular Glass of milk - 0.70, Large Glass of milk - 1.10",4.3,CASH,
04/12/2023 09:30,Longridge,Elizabeth Stevenson,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Caramel - 2.75",6.0,CARD,5078235513248837
04/12/2023 09:31,Longridge,Rebecca Naone,"Large Flavoured iced latte - Caramel - 3.25, Regular Smoothies - Glowing Greens - 2.00, Large Smoothies - Glowing Greens - 2.50, Large Mocha - 2.70, Large Smoothies - Glowing Greens - 2.50",12.95,CASH,
04/12/2023 09:32,Longridge,Sandy Waddell,"Large Glass of milk - 1.10, Large Frappes - Strawberries & Cream - 3.25, Large Mocha - 2.70",7.05,CASH,
04/12/2023 09:33,Longridge,Robert Wilson,"Large Frappes - Strawberries & Cream - 3.25, Regular Mocha - 2.30, Regular Frappes - Strawberries & Cream - 2.75, Large Mocha - 2.70, Regular Flavoured iced latte - Caramel - 2.75, Regular Glass of milk - 0.70",14.45,CARD,9748635595157127
04/12/2023 09:34,Longridge,Pauline Cline,Regular Smoothies - Glowing Greens - 2.00,2.0,CARD,9700554167279025
04/12/2023 09:35,Longridge,Geneva Boyce,"Regular Speciality Tea - Earl Grey - 1.30, Large Smoothies - Glowing Greens - 2.50",3.8,CASH,
04/12/2023 09:36,Longridge,Donald Katz,"Large Speciality Tea - Earl Grey - 1.60, Regular Flavoured iced latte - Caramel - 2.75",4.35,CASH,
04/12/2023 09:37,Longridge,Mary Hawkins,"Large Frappes - Strawberries & Cream - 3.25, Regular Speciality Tea - Earl Grey - 1.30, Regular Speciality Tea - Earl Grey - 1.30, Regular Frappes - Strawberries & Cream - 2.75",8.6,CARD,5934433742067894
04/12/2023 09:39,Longridge,Jeremy Urban,"Large Frappes - Strawberries & Cream - 3.25, Large Speciality Tea - Earl Grey - 1.60, Regular Frappes - Strawberries & Cream - 2.75, Regular Smoothies - Glowing Greens - 2.00, Large Mocha - 2.70",12.3,CARD,3270340175220931
04/12/2023 09:40,Longridge,Jeremy Harian,Regular Glass of milk - 0.70,0.7,CASH,
04/12/2023 09:41,Longridge,Lucy Mahood,"Regular Flavoured iced latte - Caramel - 2.75, Large Smoothies - Glowing Greens - 2.50, Large Frappes - Strawberries & Cream - 3.25, Large Smoothies - Glowing Greens - 2.50, Large Mocha - 2.70",13.7,CASH,
04/12/2023 09:42,Longridge,Joseph Rogers,Regular Smoothies - Glowing Greens - 2.00,2.0,CARD,5544501930900447
04/12/2023 09:43,Longridge,William Odell,Large Glass of milk - 1.10,1.1,CARD,4546467352482511
04/12/2023 09:44,Longridge,Robert Mulcahy,"Large Frappes - Strawberries & Cream - 3.25, Regular Flavoured iced latte - Caramel - 2.75",6.0,CARD,6217781723923983
04/12/2023 09:45,Longridge,Kathryn Clark,"Large Mocha - 2.70, Regular Smoothies - Glowing Greens - 2.00",4.7,CASH,
04/12/2023 09:46,Longridge,Linda Carpenter,"Large Mocha - 2.70, Large Speciality Tea - Earl Grey - 1.60, Regular Smoothies - Glowing Greens - 2.00",6.3,CASH,
